GENESIS-Tabelle: 12421-104r
Demographiespiegel: Gemeinden, Bevölkerung,;;;;;;;
Geschlecht, Altersgruppen, Stichtag;;;;;;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;;;;;;
31.12.2019;;;;;;;
;;;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung
;;;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren
;;;Insgesamt;unter 18;18 bis unter 40;40 bis unter 65;65 oder mehr Jahre
;;;1000;1000;1000;1000;1000
09677170;Partenstein;Insgesamt;2,80;0,41;0,64;1,12;0,64
09677172;Rechtenbach;männlich;0,49;0,07;0,12;0,20;0,10
09677172;Rechtenbach;weiblich;0,51;0,08;0,12;0,19;0,12
09677172;Rechtenbach;Insgesamt;1,00;0,15;0,24;0,39;0,22
09677175;Retzstadt;männlich;0,79;0,14;0,21;0,29;0,15
09677175;Retzstadt;weiblich;0,78;0,13;0,20;0,29;0,16
09677175;Retzstadt;Insgesamt;1,57;0,26;0,41;0,58;0,31
09677177;Rieneck, St;männlich;0,93;0,11;0,23;0,39;0,20
09677177;Rieneck, St;weiblich;0,99;0,16;0,20;0,36;0,27
09677177;Rieneck, St;Insgesamt;1,91;0,27;0,42;0,74;0,48
09677178;Roden;männlich;0,52;0,08;0,15;0,18;0,11
09677178;Roden;weiblich;0,47;0,08;0,10;0,20;0,09
09677178;Roden;Insgesamt;0,99;0,16;0,25;0,38;0,20
09677181;Rothenfels, St;männlich;0,52;0,09;0,11;0,20;0,11
09677181;Rothenfels, St;weiblich;0,51;0,08;0,10;0,21;0,11
09677181;Rothenfels, St;Insgesamt;1,02;0,17;0,22;0,41;0,23
09677182;Schollbrunn;männlich;0,46;0,07;0,11;0,17;0,11
09677182;Schollbrunn;weiblich;0,44;0,07;0,10;0,17;0,11
09677182;Schollbrunn;Insgesamt;0,90;0,14;0,21;0,34;0,21
09677186;Steinfeld;männlich;1,09;0,19;0,25;0,43;0,22
09677186;Steinfeld;weiblich;1,03;0,16;0,21;0,41;0,25
09677186;Steinfeld;Insgesamt;2,12;0,35;0,46;0,84;0,47
09677189;Thüngen, M;männlich;0,66;0,11;0,17;0,27;0,12
09677189;Thüngen, M;weiblich;0,68;0,11;0,14;0,26;0,17
09677189;Thüngen, M;Insgesamt;1,33;0,22;0,30;0,53;0,29
09677193;Urspringen;männlich;0,72;0,13;0,18;0,29;0,12
09677193;Urspringen;weiblich;0,68;0,10;0,17;0,27;0,13
09677193;Urspringen;Insgesamt;1,40;0,24;0,36;0,56;0,25
09677200;Wiesthal;männlich;0,66;0,10;0,16;0,27;0,13
09677200;Wiesthal;weiblich;0,64;0,10;0,13;0,25;0,17
09677200;Wiesthal;Insgesamt;1,30;0,19;0,28;0,52;0,30
09677203;Zellingen, M;männlich;3,16;0,49;0,81;1,17;0,69
09677203;Zellingen, M;weiblich;3,21;0,49;0,73;1,17;0,83
09677203;Zellingen, M;Insgesamt;6,37;0,98;1,54;2,33;1,52
09677444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09677444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09677444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09678115;Bergrheinfeld;männlich;2,65;0,45;0,73;0,95;0,52
09678115;Bergrheinfeld;weiblich;2,67;0,44;0,68;0,96;0,60
09678115;Bergrheinfeld;Insgesamt;5,33;0,89;1,40;1,91;1,12
09678122;Dingolshausen;männlich;0,67;0,13;0,15;0,28;0,12
09678122;Dingolshausen;weiblich;0,65;0,12;0,16;0,24;0,14
09678122;Dingolshausen;Insgesamt;1,33;0,25;0,31;0,51;0,25
09678123;Dittelbrunn;männlich;3,66;0,65;0,86;1,26;0,89
09678123;Dittelbrunn;weiblich;3,69;0,54;0,83;1,33;0,99
09678123;Dittelbrunn;Insgesamt;7,35;1,19;1,69;2,59;1,89
09678124;Donnersdorf;männlich;1,03;0,18;0,29;0,39;0,17
09678124;Donnersdorf;weiblich;0,94;0,16;0,22;0,39;0,18
09678124;Donnersdorf;Insgesamt;1,97;0,34;0,51;0,78;0,35
09678128;Euerbach;männlich;1,54;0,26;0,39;0,56;0,32
09678128;Euerbach;weiblich;1,52;0,24;0,35;0,59;0,33
09678128;Euerbach;Insgesamt;3,05;0,50;0,75;1,15;0,66
09678130;Frankenwinheim;männlich;0,50;0,10;0,12;0,18;0,09
09678130;Frankenwinheim;weiblich;0,47;0,09;0,11;0,18;0,10
09678130;Frankenwinheim;Insgesamt;0,97;0,19;0,24;0,36;0,19
09678132;Geldersheim;männlich;1,39;0,29;0,38;0,49;0,24
09678132;Geldersheim;weiblich;1,52;0,24;0,49;0,47;0,32
09678132;Geldersheim;Insgesamt;2,91;0,52;0,87;0,96;0,56
09678134;Gerolzhofen, St;männlich;3,36;0,55;0,90;1,23;0,68
09678134;Gerolzhofen, St;weiblich;3,51;0,51;0,82;1,25;0,93
09678134;Gerolzhofen, St;Insgesamt;6,87;1,06;1,72;2,48;1,61
09678135;Gochsheim;männlich;3,24;0,54;0,85;1,19;0,67
09678135;Gochsheim;weiblich;3,19;0,51;0,75;1,11;0,83
09678135;Gochsheim;Insgesamt;6,43;1,04;1,60;2,30;1,50
09678136;Grafenrheinfeld;männlich;1,72;0,32;0,41;0,64;0,35
09678136;Grafenrheinfeld;weiblich;1,70;0,24;0,38;0,64;0,44
09678136;Grafenrheinfeld;Insgesamt;3,43;0,56;0,79;1,28;0,79
09678138;Grettstadt;männlich;2,14;0,40;0,59;0,77;0,38
09678138;Grettstadt;weiblich;2,08;0,35;0,53;0,77;0,44
09678138;Grettstadt;Insgesamt;4,23;0,74;1,12;1,54;0,82
09678150;Kolitzheim;männlich;2,81;0,47;0,75;1,06;0,52
09678150;Kolitzheim;weiblich;2,80;0,48;0,71;1,05;0,57
09678150;Kolitzheim;Insgesamt;5,61;0,95;1,46;2,11;1,09
09678153;Lülsfeld;männlich;0,44;0,09;0,12;0,15;0,08
09678153;Lülsfeld;weiblich;0,41;0,06;0,10;0,16;0,09
09678153;Lülsfeld;Insgesamt;0,84;0,15;0,22;0,31;0,17
09678157;Michelau i.Steigerwald;männlich;0,56;0,09;0,12;0,23;0,13
09678157;Michelau i.Steigerwald;weiblich;0,55;0,09;0,11;0,22;0,13
09678157;Michelau i.Steigerwald;Insgesamt;1,12;0,18;0,23;0,44;0,26
09678160;Niederwerrn;männlich;4,27;0,69;1,34;1,41;0,82
09678160;Niederwerrn;weiblich;4,02;0,62;1,01;1,41;1,00
09678160;Niederwerrn;Insgesamt;8,29;1,31;2,35;2,82;1,82
09678164;Oberschwarzach, M;männlich;0,72;0,13;0,18;0,26;0,16
09678164;Oberschwarzach, M;weiblich;0,70;0,12;0,16;0,25;0,16
09678164;Oberschwarzach, M;Insgesamt;1,42;0,25;0,34;0,51;0,32
09678168;Poppenhausen;männlich;2,22;0,40;0,57;0,81;0,43
09678168;Poppenhausen;weiblich;2,16;0,39;0,52;0,79;0,46
09678168;Poppenhausen;Insgesamt;4,37;0,79;1,09;1,60;0,89
09678170;Röthlein;männlich;2,26;0,37;0,60;0,83;0,47
09678170;Röthlein;weiblich;2,24;0,34;0,49;0,82;0,59
09678170;Röthlein;Insgesamt;4,51;0,71;1,09;1,65;1,06
09678174;Schonungen;männlich;3,88;0,63;0,92;1,46;0,86
09678174;Schonungen;weiblich;3,80;0,60;0,84;1,45;0,93
09678174;Schonungen;Insgesamt;7,68;1,23;1,76;2,91;1,79
09678175;Schwanfeld;männlich;0,89;0,15;0,24;0,33;0,18
09678175;Schwanfeld;weiblich;0,91;0,13;0,23;0,34;0,21
09678175;Schwanfeld;Insgesamt;1,80;0,28;0,46;0,67;0,39
09678176;Schwebheim;männlich;2,08;0,36;0,52;0,72;0,49
09678176;Schwebheim;weiblich;2,13;0,31;0,50;0,74;0,57
09678176;Schwebheim;Insgesamt;4,21;0,67;1,02;1,46;1,06
09678178;Sennfeld;männlich;2,30;0,40;0,68;0,82;0,40
09678178;Sennfeld;weiblich;2,27;0,36;0,61;0,75;0,54
09678178;Sennfeld;Insgesamt;4,57;0,77;1,29;1,57;0,94
09678181;Stadtlauringen, M;männlich;2,04;0,35;0,51;0,78;0,40
09678181;Stadtlauringen, M;weiblich;2,05;0,32;0,46;0,74;0,54
09678181;Stadtlauringen, M;Insgesamt;4,09;0,66;0,97;1,52;0,94
09678183;Sulzheim;männlich;1,04;0,19;0,24;0,43;0,18
09678183;Sulzheim;weiblich;0,97;0,16;0,23;0,39;0,19
09678183;Sulzheim;Insgesamt;2,01;0,35;0,47;0,81;0,37
09678186;Üchtelhausen;männlich;1,94;0,32;0,45;0,73;0,44
09678186;Üchtelhausen;weiblich;1,88;0,28;0,43;0,71;0,46
09678186;Üchtelhausen;Insgesamt;3,81;0,60;0,88;1,44;0,90
09678190;Waigolshausen;männlich;1,38;0,24;0,34;0,52;0,29
09678190;Waigolshausen;weiblich;1,33;0,19;0,31;0,54;0,30
09678190;Waigolshausen;Insgesamt;2,71;0,43;0,65;1,05;0,58
09678192;Wasserlosen;männlich;1,69;0,27;0,46;0,64;0,32
09678192;Wasserlosen;weiblich;1,67;0,29;0,40;0,64;0,35
09678192;Wasserlosen;Insgesamt;3,36;0,55;0,86;1,28;0,67
09678193;Werneck, M;männlich;5,10;0,80;1,27;1,99;1,04
09678193;Werneck, M;weiblich;5,06;0,79;1,17;1,89;1,20
09678193;Werneck, M;Insgesamt;10,16;1,59;2,44;3,89;2,24
09678196;Wipfeld;männlich;0,51;0,09;0,13;0,19;0,10
09678196;Wipfeld;weiblich;0,53;0,08;0,13;0,20;0,13
09678196;Wipfeld;Insgesamt;1,04;0,17;0,25;0,39;0,23
09678444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09678444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09678444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09679114;Aub, St;männlich;0,75;0,11;0,22;0,27;0,15
09679114;Aub, St;weiblich;0,70;0,11;0,14;0,26;0,19
09679114;Aub, St;Insgesamt;1,45;0,21;0,36;0,53;0,35
09679117;Bergtheim;männlich;1,92;0,36;0,54;0,71;0,31
09679117;Bergtheim;weiblich;1,90;0,34;0,50;0,70;0,36
09679117;Bergtheim;Insgesamt;3,82;0,70;1,04;1,41;0,67
09679118;Bieberehren;männlich;0,45;0,07;0,12;0,17;0,09
09679118;Bieberehren;weiblich;0,46;0,08;0,10;0,16;0,11
09679118;Bieberehren;Insgesamt;0,91;0,15;0,23;0,33;0,20
09679122;Bütthard, M;männlich;0,67;0,12;0,17;0,23;0,15
09679122;Bütthard, M;weiblich;0,64;0,09;0,14;0,25;0,16
09679122;Bütthard, M;Insgesamt;1,31;0,21;0,31;0,48;0,31
09679124;Eibelstadt, St;männlich;1,48;0,24;0,35;0,55;0,35
09679124;Eibelstadt, St;weiblich;1,58;0,24;0,34;0,60;0,40
09679124;Eibelstadt, St;Insgesamt;3,07;0,48;0,69;1,15;0,76
09679126;Eisingen;männlich;1,68;0,29;0,42;0,66;0,31
09679126;Eisingen;weiblich;1,72;0,29;0,39;0,68;0,36
09679126;Eisingen;Insgesamt;3,40;0,58;0,81;1,34;0,67
09679128;Erlabrunn;männlich;0,87;0,18;0,19;0,33;0,17
09679128;Erlabrunn;weiblich;0,92;0,17;0,21;0,36;0,19
09679128;Erlabrunn;Insgesamt;1,79;0,35;0,41;0,68;0,36
09679130;Estenfeld;männlich;2,56;0,45;0,66;0,93;0,53
09679130;Estenfeld;weiblich;2,68;0,45;0,65;0,93;0,65
09679130;Estenfeld;Insgesamt;5,24;0,90;1,31;1,86;1,17
09679131;Frickenhausen a.Main, M;männlich;0,63;0,11;0,15;0,23;0,14
09679131;Frickenhausen a.Main, M;weiblich;0,61;0,09;0,12;0,24;0,16
09679131;Frickenhausen a.Main, M;Insgesamt;1,24;0,20;0,27;0,48;0,30
09679134;Gaukönigshofen;männlich;1,29;0,23;0,30;0,52;0,24
09679134;Gaukönigshofen;weiblich;1,18;0,21;0,25;0,47;0,25
09679134;Gaukönigshofen;Insgesamt;2,46;0,44;0,55;0,99;0,48
09679135;Gelchsheim, M;männlich;0,42;0,07;0,13;0,14;0,08
09679135;Gelchsheim, M;weiblich;0,40;0,05;0,11;0,15;0,09
09679135;Gelchsheim, M;Insgesamt;0,81;0,12;0,24;0,29;0,17
09679136;Gerbrunn;männlich;3,18;0,49;1,17;0,95;0,58
09679136;Gerbrunn;weiblich;3,32;0,47;1,07;1,02;0,76
09679136;Gerbrunn;Insgesamt;6,49;0,96;2,23;1,97;1,33
09679137;Geroldshausen;männlich;0,68;0,14;0,17;0,25;0,13
09679137;Geroldshausen;weiblich;0,66;0,12;0,15;0,25;0,13
09679137;Geroldshausen;Insgesamt;1,34;0,26;0,32;0,50;0,26
09679138;Giebelstadt, M;männlich;2,77;0,52;0,78;0,98;0,49
09679138;Giebelstadt, M;weiblich;2,77;0,52;0,69;0,95;0,60
09679138;Giebelstadt, M;Insgesamt;5,54;1,04;1,48;1,93;1,09
09679141;Greußenheim;männlich;0,83;0,13;0,20;0,35;0,15
09679141;Greußenheim;weiblich;0,76;0,11;0,19;0,32;0,15
09679141;Greußenheim;Insgesamt;1,58;0,23;0,39;0,67;0,29
09679142;Güntersleben;männlich;2,23;0,41;0,59;0,82;0,42
09679142;Güntersleben;weiblich;2,25;0,39;0,58;0,83;0,45
09679142;Güntersleben;Insgesamt;4,48;0,79;1,17;1,65;0,87
09679143;Hausen b.Würzburg;männlich;1,24;0,22;0,32;0,48;0,22
09679143;Hausen b.Würzburg;weiblich;1,21;0,24;0,27;0,49;0,22
09679143;Hausen b.Würzburg;Insgesamt;2,45;0,46;0,59;0,97;0,43
09679144;Helmstadt, M;männlich;1,38;0,24;0,38;0,49;0,27
09679144;Helmstadt, M;weiblich;1,32;0,23;0,32;0,49;0,28
09679144;Helmstadt, M;Insgesamt;2,70;0,47;0,70;0,98;0,55
09679146;Hettstadt;männlich;1,83;0,30;0,44;0,76;0,33
09679146;Hettstadt;weiblich;1,79;0,27;0,40;0,75;0,36
09679146;Hettstadt;Insgesamt;3,63;0,58;0,84;1,51;0,70
09679147;Höchberg, M;männlich;4,56;0,79;1,16;1,55;1,06
09679147;Höchberg, M;weiblich;4,94;0,77;1,12;1,71;1,34
09679147;Höchberg, M;Insgesamt;9,50;1,56;2,28;3,26;2,40
09679149;Holzkirchen;männlich;0,48;0,07;0,11;0,19;0,11
09679149;Holzkirchen;weiblich;0,47;0,07;0,09;0,18;0,13
09679149;Holzkirchen;Insgesamt;0,95;0,15;0,20;0,36;0,24
09679153;Kirchheim;männlich;1,11;0,17;0,30;0,43;0,22
09679153;Kirchheim;weiblich;1,02;0,15;0,25;0,39;0,24
09679153;Kirchheim;Insgesamt;2,13;0,32;0,54;0,81;0,45
09679154;Kist;männlich;1,28;0,21;0,32;0,47;0,28
09679154;Kist;weiblich;1,37;0,22;0,34;0,46;0,35
09679154;Kist;Insgesamt;2,65;0,43;0,67;0,93;0,63
09679155;Kleinrinderfeld;männlich;1,11;0,17;0,33;0,41;0,21
09679155;Kleinrinderfeld;weiblich;0,99;0,14;0,25;0,38;0,22
09679155;Kleinrinderfeld;Insgesamt;2,10;0,31;0,58;0,79;0,42
09679156;Kürnach;männlich;2,35;0,48;0,56;0,91;0,40
09679156;Kürnach;weiblich;2,42;0,44;0,56;0,96;0,46
09679156;Kürnach;Insgesamt;4,77;0,92;1,12;1,87;0,86
09679161;Margetshöchheim;männlich;1,54;0,24;0,33;0,58;0,39
09679161;Margetshöchheim;weiblich;1,59;0,24;0,30;0,59;0,46
09679161;Margetshöchheim;Insgesamt;3,13;0,48;0,63;1,17;0,86
09679164;Neubrunn, M;männlich;1,17;0,21;0,29;0,42;0,25
09679164;Neubrunn, M;weiblich;1,13;0,19;0,26;0,43;0,25
09679164;Neubrunn, M;Insgesamt;2,30;0,41;0,55;0,85;0,50
09679165;Altertheim;männlich;1,00;0,19;0,25;0,38;0,18
09679165;Altertheim;weiblich;0,98;0,15;0,27;0,37;0,20
09679165;Altertheim;Insgesamt;1,99;0,34;0,51;0,75;0,39
09679167;Eisenheim, M;männlich;0,67;0,13;0,16;0,25;0,13
09679167;Eisenheim, M;weiblich;0,67;0,12;0,14;0,26;0,15
09679167;Eisenheim, M;Insgesamt;1,33;0,25;0,30;0,50;0,28
09679169;Oberpleichfeld;männlich;0,59;0,12;0,15;0,23;0,09
09679169;Oberpleichfeld;weiblich;0,54;0,10;0,14;0,20;0,10
09679169;Oberpleichfeld;Insgesamt;1,13;0,22;0,29;0,43;0,19
09679170;Ochsenfurt, St;männlich;5,63;0,94;1,48;2,00;1,20
09679170;Ochsenfurt, St;weiblich;5,67;0,88;1,38;2,00;1,41
09679170;Ochsenfurt, St;Insgesamt;11,30;1,82;2,86;4,00;2,62
09679174;Prosselsheim;männlich;0,61;0,12;0,15;0,24;0,11
09679174;Prosselsheim;weiblich;0,57;0,11;0,13;0,21;0,11
09679174;Prosselsheim;Insgesamt;1,18;0,23;0,28;0,45;0,22
09679175;Randersacker, M;männlich;1,68;0,27;0,43;0,59;0,39
09679175;Randersacker, M;weiblich;1,73;0,22;0,42;0,64;0,45
09679175;Randersacker, M;Insgesamt;3,40;0,49;0,85;1,23;0,84
09679176;Reichenberg, M;männlich;2,02;0,34;0,48;0,76;0,45
09679176;Reichenberg, M;weiblich;2,09;0,36;0,48;0,76;0,50
09679176;Reichenberg, M;Insgesamt;4,12;0,70;0,96;1,52;0,94
09679177;Remlingen, M;männlich;0,76;0,12;0,16;0,31;0,17
09679177;Remlingen, M;weiblich;0,74;0,13;0,15;0,28;0,18
09679177;Remlingen, M;Insgesamt;1,51;0,25;0,31;0,59;0,35
09679179;Riedenheim;männlich;0,38;0,05;0,10;0,15;0,07
09679179;Riedenheim;weiblich;0,32;0,05;0,07;0,14;0,07
09679179;Riedenheim;Insgesamt;0,70;0,10;0,17;0,29;0,15
09679180;Rimpar, M;männlich;3,81;0,64;1,02;1,38;0,76
09679180;Rimpar, M;weiblich;3,85;0,59;0,96;1,42;0,88
09679180;Rimpar, M;Insgesamt;7,65;1,23;1,98;2,80;1,65
09679182;Röttingen, St;männlich;0,83;0,13;0,21;0,30;0,19
09679182;Röttingen, St;weiblich;0,84;0,14;0,18;0,28;0,24
09679182;Röttingen, St;Insgesamt;1,67;0,28;0,38;0,58;0,43
09679185;Rottendorf;männlich;2,59;0,44;0,72;0,91;0,52
09679185;Rottendorf;weiblich;2,75;0,44;0,72;0,96;0,63
09679185;Rottendorf;Insgesamt;5,34;0,89;1,43;1,87;1,15
09679187;Sommerhausen, M;männlich;0,91;0,16;0,21;0,36;0,18
09679187;Sommerhausen, M;weiblich;0,99;0,17;0,23;0,35;0,23
09679187;Sommerhausen, M;Insgesamt;1,90;0,33;0,44;0,72;0,41
09679188;Sonderhofen;männlich;0,45;0,08;0,11;0,18;0,08
09679188;Sonderhofen;weiblich;0,38;0,06;0,10;0,15;0,07
09679188;Sonderhofen;Insgesamt;0,83;0,15;0,21;0,33;0,15
09679192;Tauberrettersheim;männlich;0,43;0,08;0,10;0,16;0,09
09679192;Tauberrettersheim;weiblich;0,44;0,08;0,11;0,15;0,10
09679192;Tauberrettersheim;Insgesamt;0,87;0,16;0,21;0,31;0,19
09679193;Theilheim;männlich;1,18;0,22;0,28;0,46;0,22
09679193;Theilheim;weiblich;1,19;0,21;0,30;0,44;0,24
09679193;Theilheim;Insgesamt;2,37;0,43;0,58;0,90;0,46
09679194;Thüngersheim;männlich;1,35;0,21;0,33;0,51;0,30
09679194;Thüngersheim;weiblich;1,36;0,23;0,28;0,50;0,34
09679194;Thüngersheim;Insgesamt;2,70;0,45;0,61;1,01;0,64
09679196;Uettingen;männlich;0,98;0,18;0,27;0,37;0,17
09679196;Uettingen;weiblich;0,88;0,13;0,22;0,35;0,18
09679196;Uettingen;Insgesamt;1,86;0,31;0,49;0,72;0,35
09679200;Leinach;männlich;1,56;0,28;0,37;0,60;0,31
09679200;Leinach;weiblich;1,56;0,25;0,38;0,60;0,33
09679200;Leinach;Insgesamt;3,12;0,53;0,75;1,20;0,64
09679201;Unterpleichfeld;männlich;1,56;0,30;0,43;0,55;0,28
09679201;Unterpleichfeld;weiblich;1,48;0,28;0,40;0,51;0,30
09679201;Unterpleichfeld;Insgesamt;3,04;0,58;0,82;1,06;0,58
09679202;Veitshöchheim;männlich;4,63;0,74;1,20;1,61;1,08
09679202;Veitshöchheim;weiblich;4,89;0,70;1,10;1,75;1,34
09679202;Veitshöchheim;Insgesamt;9,53;1,44;2,31;3,37;2,41
09679204;Waldbrunn;männlich;1,42;0,28;0,36;0,50;0,28
09679204;Waldbrunn;weiblich;1,43;0,25;0,34;0,54;0,30
09679204;Waldbrunn;Insgesamt;2,85;0,53;0,70;1,04;0,58
09679205;Waldbüttelbrunn;männlich;2,45;0,44;0,60;0,91;0,49
09679205;Waldbüttelbrunn;weiblich;2,46;0,40;0,56;0,95;0,55
09679205;Waldbüttelbrunn;Insgesamt;4,91;0,84;1,16;1,87;1,04
09679206;Winterhausen, M;männlich;0,66;0,09;0,14;0,27;0,15
09679206;Winterhausen, M;weiblich;0,71;0,10;0,13;0,30;0,17
09679206;Winterhausen, M;Insgesamt;1,37;0,20;0,27;0,57;0,33
09679209;Zell a.Main, M;männlich;2,14;0,36;0,60;0,79;0,39
09679209;Zell a.Main, M;weiblich;2,29;0,36;0,57;0,81;0,55
09679209;Zell a.Main, M;Insgesamt;4,43;0,72;1,17;1,59;0,94
09679444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09679444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09679444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09761000;Augsburg (Krfr.St);männlich;146,22;23,39;51,03;47,81;23,99
09761000;Augsburg (Krfr.St);weiblich;150,36;22,23;47,52;47,01;33,60
09761000;Augsburg (Krfr.St);Insgesamt;296,58;45,62;98,55;94,82;57,59
09762000;Kaufbeuren (Krfr.St);männlich;21,87;3,76;6,21;7,50;4,40
09762000;Kaufbeuren (Krfr.St);weiblich;22,53;3,62;5,58;7,62;5,71
09762000;Kaufbeuren (Krfr.St);Insgesamt;44,40;7,38;11,79;15,12;10,11
09763000;Kempten (Allgäu) (Krfr.St);männlich;34,22;5,57;11,00;11,06;6,59
09763000;Kempten (Allgäu) (Krfr.St);weiblich;34,93;5,20;9,82;11,20;8,72
09763000;Kempten (Allgäu) (Krfr.St);Insgesamt;69,15;10,76;20,82;22,25;15,32
09764000;Memmingen (Krfr.St);männlich;21,89;3,67;6,35;7,75;4,12
09764000;Memmingen (Krfr.St);weiblich;22,21;3,62;5,65;7,48;5,46
09764000;Memmingen (Krfr.St);Insgesamt;44,10;7,29;12,00;15,23;9,59
09771111;Adelzhausen;männlich;0,92;0,20;0,25;0,34;0,14
09771111;Adelzhausen;weiblich;0,81;0,14;0,23;0,32;0,12
09771111;Adelzhausen;Insgesamt;1,73;0,34;0,47;0,66;0,26
09771112;Affing;männlich;2,81;0,53;0,75;1,09;0,44
09771112;Affing;weiblich;2,69;0,48;0,67;1,02;0,52
09771112;Affing;Insgesamt;5,50;1,01;1,43;2,10;0,96
09771113;Aichach, St;männlich;10,52;1,85;2,95;3,77;1,95
09771113;Aichach, St;weiblich;10,95;1,85;2,78;3,85;2,48
09771113;Aichach, St;Insgesamt;21,47;3,70;5,73;7,62;4,42
09771114;Aindling, M;männlich;2,28;0,39;0,60;0,88;0,40
09771114;Aindling, M;weiblich;2,21;0,40;0,55;0,81;0,46
09771114;Aindling, M;Insgesamt;4,49;0,79;1,15;1,69;0,86
09771122;Dasing;männlich;3,01;0,55;0,81;1,15;0,50
09771122;Dasing;weiblich;2,80;0,51;0,71;1,05;0,53
09771122;Dasing;Insgesamt;5,81;1,06;1,52;2,20;1,03
09771129;Eurasburg;männlich;0,90;0,18;0,23;0,34;0,14
09771129;Eurasburg;weiblich;0,84;0,15;0,20;0,34;0,15
09771129;Eurasburg;Insgesamt;1,74;0,34;0,43;0,69;0,29
09771130;Friedberg, St;männlich;14,72;2,55;3,54;5,42;3,21
09771130;Friedberg, St;weiblich;15,26;2,52;3,35;5,47;3,92
09771130;Friedberg, St;Insgesamt;29,98;5,07;6,89;10,89;7,13
09771140;Hollenbach;männlich;1,25;0,22;0,37;0,45;0,20
09771140;Hollenbach;weiblich;1,15;0,19;0,32;0,41;0,24
09771140;Hollenbach;Insgesamt;2,40;0,42;0,69;0,86;0,44
09771141;Inchenhofen, M;männlich;1,37;0,28;0,40;0,50;0,19
09771141;Inchenhofen, M;weiblich;1,28;0,25;0,36;0,45;0,23
09771141;Inchenhofen, M;Insgesamt;2,65;0,53;0,75;0,95;0,42
09771142;Kissing;männlich;5,73;1,05;1,48;2,15;1,05
09771142;Kissing;weiblich;5,90;1,06;1,46;2,06;1,31
09771142;Kissing;Insgesamt;11,62;2,11;2,94;4,21;2,36
09771144;Kühbach, M;männlich;2,20;0,44;0,55;0,82;0,39
09771144;Kühbach, M;weiblich;2,13;0,41;0,52;0,76;0,44
09771144;Kühbach, M;Insgesamt;4,33;0,85;1,07;1,58;0,83
09771145;Merching;männlich;1,62;0,31;0,42;0,63;0,26
09771145;Merching;weiblich;1,60;0,28;0,45;0,61;0,27
09771145;Merching;Insgesamt;3,22;0,59;0,87;1,24;0,52
09771146;Mering, M;männlich;7,22;1,36;1,99;2,60;1,27
09771146;Mering, M;weiblich;7,63;1,36;1,96;2,70;1,62
09771146;Mering, M;Insgesamt;14,85;2,72;3,95;5,29;2,89
09771149;Obergriesbach;männlich;1,00;0,17;0,25;0,40;0,18
09771149;Obergriesbach;weiblich;0,96;0,16;0,20;0,40;0,20
09771149;Obergriesbach;Insgesamt;1,96;0,33;0,45;0,80;0,38
09771155;Petersdorf;männlich;0,88;0,16;0,19;0,35;0,18
09771155;Petersdorf;weiblich;0,82;0,13;0,20;0,31;0,19
09771155;Petersdorf;Insgesamt;1,69;0,29;0,39;0,66;0,36
09771156;Pöttmes, M;männlich;3,49;0,65;1,01;1,27;0,55
09771156;Pöttmes, M;weiblich;3,37;0,60;0,91;1,18;0,69
09771156;Pöttmes, M;Insgesamt;6,85;1,24;1,92;2,45;1,24
09771158;Rehling;männlich;1,30;0,26;0,31;0,51;0,23
09771158;Rehling;weiblich;1,28;0,27;0,29;0,48;0,24
09771158;Rehling;Insgesamt;2,58;0,53;0,60;0,99;0,47
09771160;Ried;männlich;1,57;0,32;0,40;0,59;0,27
09771160;Ried;weiblich;1,56;0,31;0,38;0,57;0,30
09771160;Ried;Insgesamt;3,13;0,63;0,77;1,16;0,56
09771162;Schiltberg;männlich;1,01;0,18;0,27;0,39;0,16
09771162;Schiltberg;weiblich;0,96;0,18;0,24;0,35;0,19
09771162;Schiltberg;Insgesamt;1,97;0,36;0,51;0,75;0,35
09771163;Schmiechen;männlich;0,69;0,15;0,19;0,26;0,10
09771163;Schmiechen;weiblich;0,68;0,15;0,18;0,24;0,11
09771163;Schmiechen;Insgesamt;1,37;0,29;0,37;0,50;0,21
09771165;Sielenbach;männlich;0,88;0,18;0,26;0,32;0,12
09771165;Sielenbach;weiblich;0,85;0,18;0,24;0,30;0,13
09771165;Sielenbach;Insgesamt;1,73;0,36;0,50;0,62;0,25
09771168;Steindorf;männlich;0,51;0,08;0,13;0,20;0,10
09771168;Steindorf;weiblich;0,47;0,08;0,10;0,19;0,10
09771168;Steindorf;Insgesamt;0,98;0,16;0,23;0,39;0,20
