GENESIS-Tabelle: 12421-104r
Demographiespiegel: Gemeinden, Bevölkerung,;;;;;;;
Geschlecht, Altersgruppen, Stichtag;;;;;;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;;;;;;
31.12.2019;;;;;;;
;;;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung
;;;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren
;;;Insgesamt;unter 18;18 bis unter 40;40 bis unter 65;65 oder mehr Jahre
;;;1000;1000;1000;1000;1000
09181132;Penzing;männlich;1,82;0,32;0,45;0,70;0,35
09181132;Penzing;weiblich;1,81;0,29;0,44;0,69;0,39
09181132;Penzing;Insgesamt;3,62;0,61;0,89;1,39;0,73
09181133;Vilgertshofen;männlich;1,35;0,25;0,34;0,54;0,23
09181133;Vilgertshofen;weiblich;1,37;0,23;0,31;0,53;0,29
09181133;Vilgertshofen;Insgesamt;2,72;0,48;0,65;1,07;0,53
09181134;Prittriching;männlich;1,27;0,23;0,35;0,48;0,22
09181134;Prittriching;weiblich;1,24;0,23;0,31;0,45;0,26
09181134;Prittriching;Insgesamt;2,52;0,46;0,65;0,93;0,48
09181135;Reichling;männlich;0,87;0,17;0,22;0,34;0,14
09181135;Reichling;weiblich;0,84;0,16;0,21;0,31;0,16
09181135;Reichling;Insgesamt;1,70;0,32;0,42;0,65;0,31
09181137;Rott;männlich;0,82;0,14;0,23;0,32;0,13
09181137;Rott;weiblich;0,83;0,15;0,21;0,32;0,15
09181137;Rott;Insgesamt;1,65;0,29;0,44;0,64;0,28
09181138;Scheuring;männlich;0,97;0,19;0,24;0,39;0,15
09181138;Scheuring;weiblich;0,98;0,20;0,24;0,36;0,17
09181138;Scheuring;Insgesamt;1,95;0,39;0,48;0,75;0,32
09181139;Schondorf am Ammersee;männlich;1,98;0,38;0,49;0,68;0,43
09181139;Schondorf am Ammersee;weiblich;1,98;0,31;0,42;0,76;0,49
09181139;Schondorf am Ammersee;Insgesamt;3,95;0,69;0,91;1,44;0,92
09181140;Schwifting;männlich;0,52;0,10;0,13;0,19;0,10
09181140;Schwifting;weiblich;0,51;0,10;0,11;0,20;0,11
09181140;Schwifting;Insgesamt;1,03;0,20;0,23;0,39;0,20
09181141;Pürgen;männlich;1,79;0,35;0,46;0,69;0,30
09181141;Pürgen;weiblich;1,76;0,33;0,43;0,69;0,32
09181141;Pürgen;Insgesamt;3,55;0,67;0,89;1,38;0,61
09181142;Thaining;männlich;0,51;0,09;0,14;0,19;0,09
09181142;Thaining;weiblich;0,53;0,11;0,14;0,19;0,10
09181142;Thaining;Insgesamt;1,04;0,20;0,28;0,38;0,18
09181143;Unterdießen;männlich;0,76;0,15;0,20;0,27;0,13
09181143;Unterdießen;weiblich;0,70;0,12;0,17;0,29;0,12
