GENESIS-Tabelle: 12421-105
Demographiespiegel: Gemeinden, Durchschnittsalter/;;
Jugendquotient/Altenquotient, Stichtage;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;
Durchschnittsalter der Bevölkerung (Jahre);;
;;2019
09274113;Altdorf, M;44,8
09274114;Altfraunhofen;42,3
09274118;Baierbach;44,8
09274119;Bayerbach b.Ergoldsbach;42,1
09274120;Bodenkirchen;43,8
09274121;Buch a.Erlbach;43,4
09274124;Eching;41,9
09274126;Ergolding, M;43,5
09274127;Ergoldsbach, M;42,6
09274128;Essenbach, M;43,1
09274132;Furth;43,6
09274134;Geisenhausen, M;42,5
09274135;Gerzen;44,1
09274141;Hohenthann;42,5
09274145;Kröning;42,8
09274146;Kumhausen;42,4
09274153;Neufahrn i.NB;43,6
09274154;Neufraunhofen;42,5
09274156;Niederaichbach;43,2
09274165;Obersüßbach;41,8
09274172;Pfeffenhausen, M;43,9
09274174;Postau;44,5
09274176;Rottenburg a.d.Laaber, St;43,3
09274179;Schalkham;41,3
09274182;Tiefenbach;44,6
09274183;Velden, M;43,3
09274184;Vilsbiburg, St;42,9
09274185;Vilsheim;42,8
09274187;Weihmichl;43,1
09274188;Weng;41,8
09274191;Wörth a.d.Isar;41,4
09274193;Wurmsham;43,3
09274194;Bruckberg;43,6
09275111;Aicha vorm Wald;43,4
09275112;Aidenbach, M;45,9
09275114;Aldersbach;44,4
09275116;Bad Füssing;53,2
09275117;Beutelsbach;44,0
09275118;Breitenberg;43,6
09275119;Büchlberg;43,8
09275120;Eging a.See, M;43,6
09275121;Fürstenstein;46,1
09275122;Fürstenzell, M;45,1
09275124;Bad Griesbach i.Rottal, St;47,8
09275125;Haarbach;47,0
09275126;Hauzenberg, St;44,8
09275127;Hofkirchen, M;43,6
09275128;Hutthurm, M;43,4
09275130;Kirchham;49,4
09275131;Kößlarn, M;46,6
09275132;Malching;46,6
09275133;Neuburg a.Inn;44,3
09275134;Neuhaus a.Inn;47,3
09275135;Neukirchen vorm Wald;42,1
09275137;Obernzell, M;46,3
09275138;Ortenburg, M;44,5
